Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,dolv_125, market_cap 
CMCSA,Comcast Corp,Common Stock,53.23,2.4383E+11,Communication Services,Media,Cable & Satellite,842536496.6,mega
ADBE,Adobe Inc,Common Stock,498.84,2.3894E+11,Information Technology,Software,Application Software,1353177853,mega
PDD,Pinduoduo,Depository Receipt,196.59,2.3544E+11,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,1097260042,mega
ABT,Abbott Laboratories,Common Stock,128.23,2.2727E+11,Health Care,Health Care Equipment & Supplies,Health Care Equipment,582283361.1,mega
TM,Toyota Motor Corp,Depository Receipt,160.49,2.2436E+11,Consumer Discretionary,Automobiles,Automobile Manufacturers,33242295.28,mega
VZ,Verizon Communications Inc,Common Stock,54.2,2.2428E+11,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,930555130.2,mega
NKE,Nike Inc,Common Stock,142.12,2.2384E+11,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,776306322,mega
CRM,salesforce.com Inc,Common Stock,240.37,2.197E+11,Information Technology,Software,Application Software,2078167894,mega
KO,Coca-Cola Co (The),Common Stock,50.69,2.1807E+11,Consumer Staples,Beverages,Soft Drinks,822113470.6,mega
XOM,Exxon Mobil Corp,Common Stock,50.52,2.1385E+11,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,1168003994,mega
NVS,Novartis AG,Depository Receipt,92.03,2.077E+11,Health Care,Pharmaceuticals,Pharmaceuticals,172476693.7,mega
T,AT&T Inc,Common Stock,28.8,2.0523E+11,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,1149890447,mega
TMO,Thermo Fisher Scientific Inc,Common Stock,507.83,2.0127E+11,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,739861783.4,mega
CSCO,Cisco Systems Inc,Common Stock,47.29,1.9966E+11,Information Technology,Communications Equipment,Communications Equipment,943929229.7,mega
AVGO,Broadcom Inc,Common Stock,486.32,1.9793E+11,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,685931257.7,mega
PFE,Pfizer Inc,Common Stock,34.72,1.9294E+11,Health Care,Pharmaceuticals,Pharmaceuticals,1362795627,mega
MRK,Merck & Co Inc,Common Stock,75,1.8973E+11,Health Care,Pharmaceuticals,Pharmaceuticals,720389529.3,mega
LLY,Eli Lilly and Co,Common Stock,207.29,1.8791E+11,Health Care,Pharmaceuticals,Pharmaceuticals,672203903.8,mega
ORCL,Oracle Corp,Common Stock,63.08,1.8621E+11,Information Technology,Software,Systems Software,721519531.6,mega
PEP,PepsiCo Inc,Common Stock,133.88,1.8474E+11,Consumer Staples,Beverages,Soft Drinks,589704471.9,mega
ABBV,AbbVie Inc,Common Stock,104.44,1.8437E+11,Health Care,Biotechnology,Biotechnology,759567619.5,mega
NVO,Novo Nordisk A/S,Depository Receipt,75.82,1.7833E+11,Health Care,Pharmaceuticals,Pharmaceuticals,73159684.62,mega
BHP,BHP Group Ltd,Depository Receipt,70.38,1.7798E+11,Materials,Metals & Mining,Diversified Metals & Mining,131548482.2,mega
SHOP,Shopify Inc,Common Stock,1455.49,1.7744E+11,Information Technology,IT Services,Internet Services & Infrastructure,1632651189,mega
DHR,Danaher Corp,Common Stock,245.9,1.7483E+11,Health Care,Health Care Equipment & Supplies,Health Care Equipment,532780953.3,mega
CVX,Chevron Corp,Common Stock,92.55,1.7282E+11,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,890228242.6,mega
QCOM,QUALCOMM Inc.,Common Stock,147.98,1.6811E+11,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,1186801351,mega
TXN,Texas Instruments Inc,Common Stock,179.64,1.6515E+11,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,643395442.5,mega
ACN,Accenture PLC,Common Stock,257.47,1.6314E+11,Information Technology,IT Services,IT Consulting & Other Services,461678420.3,mega
NEE,NextEra Energy Inc,Common Stock,83.13,1.6286E+11,Utilities,Electric Utilities,Electric Utilities,559881628.1,mega
MDT,Medtronic PLC,Common Stock,119.74,1.6112E+11,Health Care,Health Care Equipment & Supplies,Health Care Equipment,492313959.6,mega
MCD,McDonald's Corp,Common Stock,213.9,1.5938E+11,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,657599156.3,mega
COST,Costco Wholesale Corp,Common Stock,352.76,1.5625E+11,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers,845679443,mega
SAP,SAP SE,Depository Receipt,131.93,1.5562E+11,Information Technology,Software,Application Software,140052786.1,mega
JD,JD.com Inc,Depository Receipt,99.27,1.5392E+11,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,1000142479,mega
TMUS,T-Mobile US Inc,Common Stock,123.65,1.5359E+11,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,476710946.8,mega
HDB,H D F C Bank Ltd,Depository Receipt,83.04,1.5178E+11,Financials,Banks,Diversified Banks,89907627.23,mega
RDS-A,Royal Dutch Shell PLC,Depository Receipt,38.51,1.4997E+11,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,186621432,mega
BBL,BHP Group Ltd,Depository Receipt,59.07,1.4938E+11,Materials,Metals & Mining,Diversified Metals & Mining,66391278.7,mega
UL,Unilever PLC,Depository Receipt,55.05,1.4434E+11,Consumer Staples,Personal Products,Personal Products,92917809.1,mega
UNP,Union Pacific Corp,Common Stock,213.16,1.4311E+11,Industrials,Road & Rail,Railroads,548058014.6,mega
HON,Honeywell International Inc,Common Stock,203.57,1.4284E+11,Industrials,Industrial Conglomerates,Industrial Conglomerates,564389772.2,mega
RDS-B,Royal Dutch Shell PLC,Depository Receipt,36.58,1.4246E+11,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,106146356.6,mega
UPS,United Parcel Service Inc,Common Stock,163.39,1.4127E+11,Industrials,Air Freight & Logistics,Air Freight & Logistics,621712400.4,mega
SNE,Sony Corp,Depository Receipt,113.53,1.4005E+11,Consumer Discretionary,Household Durables,Consumer Electronics,94124854.77,mega
WFC,Wells Fargo & Co,Common Stock,33.53,1.3895E+11,Financials,Banks,Diversified Banks,1035478776,mega
AMGN,Amgen Inc,Common Stock,237.21,1.3711E+11,Health Care,Biotechnology,Biotechnology,636608232.9,mega
AZN,Astrazeneca PLC,Depository Receipt,51.69,1.3565E+11,Health Care,Pharmaceuticals,Pharmaceuticals,422644591.3,mega
BMY,Bristol-Myers Squibb Co,Common Stock,59.99,1.3556E+11,Health Care,Pharmaceuticals,Pharmaceuticals,663061526.1,mega
RIO,Rio Tinto Group,Depository Receipt,83.66,1.3535E+11,Materials,Metals & Mining,Diversified Metals & Mining,135926129.1,mega
SE,Sea Ltd,Depository Receipt,276.12,1.3519E+11,Communication Services,Entertainment,Interactive Home Entertainment,670213086,mega
MS,Morgan Stanley,Common Stock,74.61,1.3504E+11,Financials,Capital Markets,Investment Banking & Brokerage,676288071.6,mega
PM,Philip Morris International Inc,Common Stock,86.12,1.3412E+11,Consumer Staples,Tobacco,Tobacco,380212669.5,mega
LOW,Lowe's Cos Inc,Common Stock,177.16,1.3322E+11,Consumer Discretionary,Specialty Retail,Home Improvement Retail,727175891.1,mega
LIN,Linde Plc,Common Stock,252.68,1.3262E+11,Materials,Chemicals,Industrial Gases,436473115.9,mega
C,Citigroup Inc,Common Stock,63.63,1.3248E+11,Financials,Banks,Diversified Banks,1223031777,mega
ABNB,Airbnb Inc,Common Stock,212.74,1.2707E+11,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",1497329371,mega
BUD,Anheuser-Busch InBev SA/NV,Depository Receipt,63.56,1.2529E+11,Consumer Staples,Beverages,Brewers,103622369.1,mega
SBUX,Starbucks Corp,Common Stock,105.29,1.2396E+11,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,620681304.6,mega
ZM,Zoom Video Communications Inc,Common Stock,433.11,1.2385E+11,Information Technology,Software,Application Software,3927719226,mega
BA,Boeing Co,Common Stock,210.98,1.2286E+11,Industrials,Aerospace & Defense,Aerospace & Defense,3676113610,mega
SQ,Square Inc,Common Stock,272.75,1.2211E+11,Information Technology,IT Services,Data Processing & Outsourced Services,1835695278,mega
SNY,Sanofi,Depository Receipt,47.57,1.1951E+11,Health Care,Pharmaceuticals,Pharmaceuticals,86846212.62,mega
RY,Royal Bank of Canada,Common Stock,83.61,1.1893E+11,Financials,Banks,Diversified Banks,63433357.34,mega
CHTR,Charter Communications Inc,Common Stock,613.44,1.1884E+11,Communication Services,Media,Cable & Satellite,677055531.2,mega
NOW,ServiceNow Inc,Common Stock,591.29,1.1533E+11,Information Technology,Software,Systems Software,707762778,mega
AMD,Advanced Micro Devices Inc,Common Stock,93.79,1.1356E+11,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,4100185348,mega
TOT,TOTAL SE,Depository Receipt,42.77,1.1243E+11,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,110297556.8,mega
HSBC,HSBC Holdings PLC,Depository Receipt,27.8,1.121E+11,Financials,Banks,Diversified Banks,67319447.32,mega
RTX,Raytheon Technologies Corp,Common Stock,72.61,1.1033E+11,Industrials,Aerospace & Defense,Aerospace & Defense,516783687.6,mega
BLK,Blackrock Inc,Common Stock,722.98,1.1025E+11,Financials,Capital Markets,Asset Management & Custody Banks,427527787.2,mega
GS,Goldman Sachs Group Inc (The),Common Stock,306.32,1.0991E+11,Financials,Capital Markets,Investment Banking & Brokerage,750094288.7,mega
INTU,Intuit Inc.,Common Stock,414.03,1.0876E+11,Information Technology,Software,Application Software,448373274,mega
BIDU,Baidu Inc,Depository Receipt,313,1.0788E+11,Communication Services,Interactive Media & Services,Interactive Media & Services,1134951034,mega
TD,Toronto-Dominion Bank (The),Common Stock,59.39,1.0783E+11,Financials,Banks,Diversified Banks,79052962.02,mega
IBM,International Business Machines Corp,Common Stock,120.8,1.0764E+11,Information Technology,IT Services,IT Consulting & Other Services,699279355.5,mega
CAT,Caterpillar Inc,Common Stock,197.99,1.0756E+11,Industrials,Machinery,Construction Machinery & Heavy Trucks,532125163,mega
UBER,Uber Technologies Inc,Common Stock,60.63,1.0676E+11,Industrials,Road & Rail,Trucking,992924598.6,mega
AMAT,Applied Materials Inc.,Common Stock,116.7899,1.0666E+11,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,576235636.3,mega
EL,Estee Lauder Cos Inc (The),Common Stock,290.25,1.0525E+11,Consumer Staples,Personal Products,Personal Products,304147260.2,mega
AXP,American Express Co,Common Stock,129.62,1.0434E+11,Financials,Consumer Finance,Consumer Finance,460709829.1,mega
MMM,3M Co,Common Stock,178.7,1.0324E+11,Industrials,Industrial Conglomerates,Industrial Conglomerates,435716306.8,mega
GE,General Electric Co,Common Stock,11.73,1.0275E+11,Industrials,Industrial Conglomerates,Industrial Conglomerates,826274595.7,mega
MU,Micron Technology Inc.,Common Stock,88.06,98310000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,1096526709,large
DE,Deere & Co,Common Stock,313,98170000000,Industrials,Machinery,Agricultural & Farm Machinery,402342700.8,large
DEO,Diageo PLC,Depository Receipt,167.08,97530000000,Consumer Staples,Beverages,Distillers & Vintners,70334500.28,large
CVS,CVS Health Corp,Common Stock,74.21,97140000000,Health Care,Health Care Providers & Services,Health Care Services,519474931.5,large
MELI,MercadoLibre Inc,Common Stock,1942.64,96720000000,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,736620369.4,large
TGT,Target Corp,Common Stock,191.43,95860000000,Consumer Discretionary,Multiline Retail,General Merchandise Stores,655257569.2,large
ISRG,Intuitive Surgical Inc,Common Stock,808.1,94920000000,Health Care,Health Care Equipment & Supplies,Health Care Equipment,436836826.8,large
LMT,Lockheed Martin Corp,Common Stock,337.73,94230000000,Industrials,Aerospace & Defense,Aerospace & Defense,520091365.8,large
SYK,Stryker Corp,Common Stock,248.15,93330000000,Health Care,Health Care Equipment & Supplies,Health Care Equipment,252548337.6,large
SNAP,Snap Inc,Common Stock,61.97,93160000000,Communication Services,Interactive Media & Services,Interactive Media & Services,1128450284,large
VALE,Vale SA,Depository Receipt,17.5,89770000000,Materials,Metals & Mining,Steel,411682343.8,large
GSK,Glaxosmithkline PLC,Depository Receipt,35.77,89090000000,Health Care,Pharmaceuticals,Pharmaceuticals,171503532,large
BKNG,Booking Holdings Inc,Common Stock,2150.58,88070000000,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,716855218.8,large
BTI,British American Tobacco PLC,Depository Receipt,38.03,87240000000,Consumer Staples,Tobacco,Tobacco,72870466.56,large
DTEGY,Deutsche Telekom AG,Depository Receipt,18.03,85520000000,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,2890490.26,large
NTES,Netease Inc,Depository Receipt,132.09,85120000000,Communication Services,Entertainment,Interactive Home Entertainment,238340175.1,large
SNOW,Snowflake Inc,Common Stock,299.47,84790000000,Information Technology,IT Services,Internet Services & Infrastructure,1288275468,large
FIS,Fidelity National Information Services Inc,Common Stock,135.6,84070000000,Information Technology,IT Services,Data Processing & Outsourced Services,498273955.4,large
LRCX,Lam Research Corp,Common Stock,586.16,83940000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,664468145,large
GILD,Gilead Sciences Inc,Common Stock,66.91,83880000000,Health Care,Biotechnology,Biotechnology,585349118.5,large
SPGI,S&P Global Inc,Common Stock,339.45,81670000000,Financials,Capital Markets,Financial Exchanges & Data,441843867.3,large
TJX,TJX Companies Inc (The),Common Stock,68,81640000000,Consumer Discretionary,Specialty Retail,Apparel Retail,429330356.2,large
MO,Altria Group Inc,Common Stock,43.4,80660000000,Consumer Staples,Tobacco,Tobacco,359309424.6,large
ATVI,Activision Blizzard Inc,Common Stock,103.81,80220000000,Communication Services,Entertainment,Interactive Home Entertainment,533996855.2,large
ZTS,Zoetis Inc,Common Stock,166.71,79230000000,Health Care,Pharmaceuticals,Pharmaceuticals,271592421.4,large
CNI,Canadian National Railway Co,Common Stock,110.62,78570000000,Industrials,Road & Rail,Railroads,78350597.18,large
MDLZ,Mondelez International Inc,Common Stock,55.19,78320000000,Consumer Staples,Food Products,Packaged Foods & Meats,356829749.6,large
BEKE,KE Holdings Inc,Depository Receipt,67.32,76970000000,Real Estate,Real Estate Management & Development,Real Estate Services,196893842.4,large
INFY,Infosys Ltd,Depository Receipt,18.07,76680000000,Information Technology,IT Services,IT Consulting & Other Services,135395882,large
KOF,Coca-Cola Femsa SAB De CV,Depository Receipt,44.9,75460000000,Consumer Staples,Beverages,Soft Drinks,5223064.763,large
GM,General Motors Co,Common Stock,53.6,75040000000,Consumer Discretionary,Automobiles,Automobile Manufacturers,790918616.9,large
BDX,Becton Dickinson and Co,Common Stock,256.32,74480000000,Health Care,Health Care Equipment & Supplies,Health Care Equipment,347208524.4,large
BASFY,BASF SE,Depository Receipt,20.22,74290000000,Materials,Chemicals,Diversified Chemicals,3351521.757,large
ILMN,Illumina Inc,Common Stock,504.75,74200000000,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,450408613.5,large
BP,BP PLC,Depository Receipt,21.91,74000000000,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,322993215.6,large
CB,Chubb Ltd,Common Stock,164.16,73990000000,Financials,Insurance,Property & Casualty Insurance,248195384.5,large
FISV,Fiserv Inc.,Common Stock,109.99,73730000000,Information Technology,IT Services,Data Processing & Outsourced Services,487474297.9,large
CI,Cigna Corp,Common Stock,206.93,73410000000,Health Care,Health Care Providers & Services,Health Care Services,376209682.4,large
TFC,Truist Financial Corp,Common Stock,54.01,72860000000,Financials,Banks,Regional Banks,240344898.3,large
MRNA,Moderna Inc,Common Stock,183.81,72650000000,Health Care,Biotechnology,Biotechnology,1987329008,large
ANTM,Anthem Inc,Common Stock,290.68,72510000000,Health Care,Health Care Providers & Services,Managed Health Care,379864123.4,large
USB,U.S. Bancorp,Common Stock,47.64,71790000000,Financials,Banks,Diversified Banks,286371149.8,large
ADP,Automatic Data Processing Inc,Common Stock,167.03,71510000000,Information Technology,IT Services,Data Processing & Outsourced Services,296139598.7,large
BNPQY,BNP Paribas,Depository Receipt,28.28,70690000000,Financials,Banks,Diversified Banks,6000741.867,large
ENB,Enbridge Inc,Common Stock,34.57,70000000000,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,131295912.9,large
FDX,FedEx Corp.,Common Stock,263,69690000000,Industrials,Air Freight & Logistics,Air Freight & Logistics,789714543.9,large
DUK,Duke Energy Corp,Common Stock,89.82,69070000000,Utilities,Electric Utilities,Electric Utilities,282045251,large
PBR-A,Petroleo Brasileiro S.A.- Petrobras,Depository Receipt,10.56,68870000000,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,60758528.54,large
PBR,Petroleo Brasileiro S.A.- Petrobras,Depository Receipt,10.55,68810000000,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,209997816.6,large
PNC,The PNC Financial Services Group Inc,Common Stock,162.27,68800000000,Financials,Banks,Regional Banks,271999394,large
CSX,CSX Corp,Common Stock,90.13,68730000000,Industrials,Road & Rail,Railroads,340207208.5,large
BNS,The Bank of Nova Scotia,Common Stock,55.92,67750000000,Financials,Banks,Diversified Banks,57017442.53,large
CL,Colgate-Palmolive Co,Common Stock,78.43,67230000000,Consumer Staples,Household Products,Household Products,295342211.6,large
WDAY,Workday Inc,Common Stock,281.36,67220000000,Information Technology,Software,Application Software,494939530,large
ADSK,Autodesk Inc.,Common Stock,305.07,67040000000,Information Technology,Software,Application Software,384770520.8,large
CME,CME Group Inc,Common Stock,184.37,66010000000,Financials,Capital Markets,Financial Exchanges & Data,287854868.5,large
TWLO,Twilio Inc,Common Stock,435.29,65690000000,Information Technology,IT Services,Internet Services & Infrastructure,720936542.8,large
SHW,Sherwin-Williams Co (The),Common Stock,721.05,65490000000,Materials,Chemicals,Specialty Chemicals,325104265.1,large
BAM,Brookfield Asset Management Inc,Common Stock,42.95,64950000000,Financials,Capital Markets,Asset Management & Custody Banks,92147735.67,large
SPOT,Spotify Technology S.A,Common Stock,339.7,64620000000,Communication Services,Entertainment,Movies & Entertainment,440225100.2,large
DASH,DoorDash Inc,Common Stock,202.97,64470000000,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,666448222,large
NSC,Norfolk Southern Corp,Common Stock,254.84,64240000000,Industrials,Road & Rail,Railroads,280090970.9,large
ITW,Illinois Tool Works Inc.,Common Stock,200.98,63610000000,Industrials,Machinery,Industrial Machinery,207031875.8,large
SO,Southern Co (The),Common Stock,60.1,63480000000,Utilities,Electric Utilities,Electric Utilities,220838747,large
TEAM,Atlassian Corp Plc,Common Stock,253.06,63260000000,Information Technology,Software,Application Software,333762773.4,large
ECL,Ecolab Inc.,Common Stock,219.88,62760000000,Materials,Chemicals,Specialty Chemicals,208187345.1,large
ICE,Intercontinental Exchange Inc,Common Stock,111.07,62310000000,Financials,Capital Markets,Financial Exchanges & Data,278736814.8,large
ABB,ABB Ltd,Depository Receipt,29.52,61750000000,Industrials,Electrical Equipment,Electrical Components & Equipment,47457275.53,large
VMW,VMware Inc,Common Stock,145.13,61030000000,Information Technology,Software,Systems Software,191829261.5,large
LFC,China Life Insurance Co Ltd,Depository Receipt,10.67,60320000000,Financials,Insurance,Life & Health Insurance,4842938.513,large
HEINY,Heineken NV,Depository Receipt,52.1,59960000000,Consumer Staples,Beverages,Brewers,5401069.367,large
DELL,Dell Technologies Inc,Common Stock,80.05,59960000000,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",155519242.6,large
EQNR,Equinor ASA,Depository Receipt,17.97,59810000000,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,69468922.95,large
ROKU,Roku Inc,Common Stock,468.67,59490000000,Communication Services,Entertainment,Movies & Entertainment,1564867325,large
SNP,China Petroleum & Chemical Corp Sinopec,Depository Receipt,49.1,59450000000,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,7741513.458,large
ADI,Analog Devices Inc.,Common Stock,160.78,59410000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,378268121.9,large
SAN,Banco Santander SA,Depository Receipt,3.41,59030000000,Financials,Banks,Diversified Banks,22704527.74,large
GPN,Global Payments Inc.,Common Stock,197.18,58830000000,Information Technology,IT Services,Data Processing & Outsourced Services,324336144.2,large
HCA,HCA Healthcare Inc,Common Stock,173.51,58710000000,Health Care,Health Care Providers & Services,Health Care Facilities,228114982.1,large
PTR,Petrochina Co Ltd,Depository Receipt,32.07,58690000000,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,4474761.481,large
D,Dominion Energy Inc,Common Stock,71.87,58650000000,Utilities,Multi-Utilities,Multi-Utilities,306642550.7,large
IBN,Icici Bank Ltd,Depository Receipt,18.1,58580000000,Financials,Banks,Diversified Banks,112075801.7,large
APD,Air Products and Chemicals Inc.,Common Stock,260.55,57650000000,Materials,Chemicals,Industrial Gases,328431630.5,large
MMC,Marsh & McLennan Companies Inc,Common Stock,112.8,57300000000,Financials,Insurance,Insurance Brokers,196331724.3,large
TWTR,Twitter Inc,Common Stock,71.9,57120000000,Communication Services,Interactive Media & Services,Interactive Media & Services,851885345.3,large
SCCO,Southern Copper Corp,Common Stock,72.46,56020000000,Materials,Metals & Mining,Copper,48120197.41,large
IFNNY,Infineon Technologies AG,Depository Receipt,42.85,55930000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,6936929.712,large
VRTX,Vertex Pharmaceuticals Inc,Common Stock,214.04,55610000000,Health Care,Biotechnology,Biotechnology,435973911,large
PLTR,Palantir Technologies Inc,Common Stock,31.91,55100000000,Information Technology,Software,Application Software,1485077937,large
BSX,Boston Scientific Corp,Common Stock,38.39,54970000000,Health Care,Health Care Equipment & Supplies,Health Care Equipment,414526986.3,large
UBS,UBS Group AG,Common Stock,15.4,54690000000,Financials,Capital Markets,Diversified Capital Markets,38676947.16,large
EW,Edwards Lifesciences Corp,Common Stock,87.65,54600000000,Health Care,Health Care Equipment & Supplies,Health Care Equipment,209151787.3,large
NXPI,NXP Semiconductors NV,Common Stock,194.39,54380000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,324368688.1,large
COF,Capital One Financial Corp.,Common Stock,117.75,54050000000,Financials,Consumer Finance,Consumer Finance,279981873.8,large
CRWD,CrowdStrike Holdings Inc,Common Stock,242.15,53490000000,Information Technology,Software,Systems Software,788456164.2,large
TAL,TAL Education Group,Depository Receipt,89.1,53420000000,Consumer Discretionary,Diversified Consumer Services,Education Services,216075180.4,large
WMMVY,"Wal-Mart De Mexico SA De Cv, Mexico",Depository Receipt,30.56,53360000000,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers,4892488.147,large
PHG,Koninklijke Philips NV,Depository Receipt,58.33,52800000000,Health Care,Health Care Equipment & Supplies,Health Care Equipment,23773683.69,large
PINS,Pinterest Inc,Common Stock,84.04,52640000000,Communication Services,Interactive Media & Services,Interactive Media & Services,861684062,large
DD,DuPont  De Nemours Inc,Common Stock,71.47,52470000000,Materials,Chemicals,Specialty Chemicals,592127604.2,large
AON,Aon plc,Common Stock,228.04,52270000000,Financials,Insurance,Insurance Brokers,313510381.3,large
MCO,Moody's Corp.,Common Stock,278.67,52140000000,Financials,Capital Markets,Financial Exchanges & Data,199295178.4,large
REGN,Regeneron Pharmaceuticals Inc,Common Stock,485.98,51940000000,Health Care,Biotechnology,Biotechnology,520682678.8,large
CEO,Cnooc Ltd,Depository Receipt,115.28,51470000000,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,24108987.18,large
EMR,Emerson Electric Co.,Common Stock,85.33,51180000000,Industrials,Electrical Equipment,Electrical Components & Equipment,199103216.6,large
KLAC,KLA Corp,Common Stock,331.81,51150000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,255806730.1,large
